Waf: Entering directory `/home/zsh/example/build'
Waf: Leaving directory `/home/zsh/example/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.251s)
20.0043 0 64 100 
20.1 0 97 100 
20.2015 0 64 100 
20.3 0 44 100 
20.4 0 14 100 
20.5 0 40 100 
20.6 0 40 100 
20.7015 0 64 100 
20.8 0 97 100 
20.9015 0 64 100 
21.0084 0 85 100 
21.1063 0 16 100 
21.1082 0 14 100 
21.1105 0 11 100 
21.1256 0 40 100 
21.128 0 39 100 
21.1356 0 40 100 
21.1371 0 39 100 
21.2064 0 42 100 
21.3 0 97 100 
21.4015 0 42 100 
21.5015 0 85 100 
21.6015 0 42 100 
21.7 0 97 100 
21.8015 0 42 100 
21.9015 0 85 100 
22.0015 0 16 100 
22.1 0 40 100 
22.2015 0 42 100 
22.3015 0 42 100 
22.4 0 97 100 
22.5015 0 42 100 
22.6015 0 85 100 
22.7015 0 16 100 
22.8 0 40 100 
22.9015 0 42 100 
23 0 97 100 
23.0399 0 64 100 
23.0449 0 45 100 
23.0466 0 42 100 
23.0499 0 64 100 
23.0514 0 45 100 
23.0532 0 42 100 
23.0599 0 64 100 
23.0614 0 45 100 
23.0631 0 42 100 
23.0699 0 64 100 
23.0714 0 45 100 
23.0732 0 42 100 
23.1015 0 42 100 
23.2015 0 42 100 
23.3 0 97 100 
23.4015 0 42 100 
23.5015 0 85 100 
23.6015 0 16 100 
23.7 0 40 100 
23.8015 0 42 100 
23.9 0 97 100 
24.0015 0 42 100 
24.0801 0 85 100 
24.0832 0 44 100 
24.0901 0 85 100 
24.0916 0 44 100 
24.1001 0 85 100 
24.1015 0 85 100 
24.1033 0 44 100 
24.1101 0 85 100 
24.1116 0 44 100 
24.1201 0 85 100 
24.1216 0 44 100 
24.2015 0 16 100 
24.3 0 40 100 
24.3515 0 85 100 
24.353 0 44 100 
24.4 0 40 100 
24.5015 0 42 100 
24.6 0 97 100 
24.7015 0 42 100 
24.8015 0 42 100 
24.9 0 97 100 
25.0015 0 42 100 
25.1014 0 39 100 
25.1015 0 42 100 
25.1106 0 90 100 
25.1114 0 39 100 
25.1129 0 90 100 
25.2015 0 42 100 
25.3015 0 42 100 
25.3067 0 55 100 
25.3606 0 90 100 
25.3629 0 90 100 
25.3629 0 39 100 
25.3648 0 39 100 
25.3681 0 40 100 
25.3698 0 40 100 
25.4015 0 42 100 
25.4033 0 55 100 
25.5 0 97 100 
25.6015 0 42 100 
25.6033 0 55 100 
25.7 0 44 100 
25.8 0 14 100 
25.8275 0 42 100 
25.8291 0 55 100 
25.8375 0 42 100 
25.839 0 55 100 
25.8475 0 42 100 
25.849 0 55 100 
25.8575 0 42 100 
25.859 0 55 100 
25.8675 0 42 100 
25.869 0 55 100 
25.8775 0 42 100 
25.879 0 55 100 
25.8875 0 42 100 
25.889 0 55 100 
25.8975 0 42 100 
25.899 0 55 100 
25.9 0 40 100 
25.9075 0 42 100 
25.909 0 55 100 
25.9175 0 42 100 
25.919 0 55 100 
25.9275 0 42 100 
25.929 0 55 100 
25.9375 0 42 100 
25.939 0 55 100 
25.9475 0 42 100 
25.949 0 55 100 
25.9575 0 42 100 
25.959 0 55 100 
25.9675 0 42 100 
25.969 0 55 100 
25.9775 0 42 100 
25.979 0 55 100 
25.9875 0 42 100 
25.989 0 55 100 
25.9975 0 42 100 
25.999 0 55 100 
26 0 40 100 
26.0075 0 42 100 
26.009 0 55 100 
26.0175 0 42 100 
